Pin code,Latitude,Longitude
122001,28.4555,77.0219
122002,28.4747,77.1049
122003,28.4421,77.0652
110038,28.5132,77.1093
122018,28.4181,77.0507
122017,28.5077,77.0277
122004,28.4051,76.9758
122022,28.4613,77.0657
110071,28.5613,77.0021
122011,28.4259,77.0976
122413,28.3043,76.8836
122016,28.5079,77.0752
122015,28.4964,77.0593
122050,28.3555,76.941
122006,28.4814,76.9931
122505,28.4317,76.8952
122101,28.3637,77.0219
122102,28.3118,77.0795
122051,28.3484,76.924
122503,28.3309,76.8029
122009,28.4642,77.0823
122008,28.493,77.0724
122010,28.4859,77.1058
122005,28.4362,77.0305
122052,28.3703,76.9124
122007,28.4719,77.0579
122050,28.3743,76.8858
122021,28.4537,77.0225
